date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,B.1.1.7,B.1.617.2,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
2020-01-30,2.7583163237160036e-05,4.582283608530013e-07,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0.0,4.582283608530013e-07,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,4.582283608530013e-07,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,4.582283608530013e-07,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,4.582283608530013e-07,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,4.582283608530013e-07,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,1.3791581618580018e-05,6.873425412795019e-07,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,6.873425412795019e-07,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,6.873425412795019e-07,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,5.516632647432007e-05,1.6037992629855045e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,1.3791581618580018e-05,1.832913443412005e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,1.832913443412005e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,1.3791581618580018e-05,2.0620276238385057e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,2.0620276238385057e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,2.0620276238385057e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,2.0620276238385057e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,2.0620276238385057e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,2.0620276238385057e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,2.0620276238385057e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,2.0620276238385057e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,2.0620276238385057e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,2.0620276238385057e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,1.3791581618580018e-05,2.291141804265006e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,2.291141804265006e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,1.3791581618580018e-05,2.520255984691507e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,2.7583163237160036e-05,2.978484345544508e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,6.89579080929001e-05,4.124055247677011e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,5.516632647432007e-05,5.040511969383014e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,9.654107133006013e-05,6.644311232368518e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0001517073978043802,9.164567217060024e-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,6.89579080929001e-05,1.0310138119192529e-05,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0002758316323716004,1.4892421727722542e-05,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0005240801015060407,2.3598760583929564e-05,0.0008038585209003215,8.859122238168643e-06,0.0,0.0,0.0,0.0
2020-03-03,0.0007309538257847409,3.57418121465341e-05,0.001607717041800643,2.6577366714505926e-05,0.0,0.0,0.0,0.0
2020-03-04,0.0006757874993104209,4.696840698743263e-05,0.0,2.6577366714505926e-05,0.0,0.0,0.0,0.0
2020-03-05,0.0006344127544546809,5.750765928705166e-05,0.002411575562700965,5.315473342901185e-05,0.0,0.0,0.0,0.0
2020-03-06,0.0010067854581563413,7.42329944581862e-05,0.0,5.315473342901185e-05,0.0,0.0,0.0,0.0
2020-03-07,0.000758536989021901,8.683427438164374e-05,0.0,5.315473342901185e-05,0.0,0.0,0.0,0.0
2020-03-08,0.000689579080929001,9.828998340296876e-05,0.002411575562700965,7.973210014351777e-05,0.0,0.0,0.0,0.0
2020-03-09,0.0017239477023225024,0.00012692925595628136,0.0040192926045016075,0.00012402771133436099,0.0,0.0,0.0,0.0
2020-03-10,0.0031306890274176644,0.000178938174913097,0.002411575562700965,0.00015060507804886693,0.0,0.0,0.0,0.0
2020-03-11,0.004868428311358746,0.0002598154806036517,0.006430868167202572,0.00022147805595421606,0.0,0.0,0.0,0.0
